epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/cv4_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/cv4_loss,lr/pg0,lr/pg1,lr/pg2
38,6027.47,0.84731,10.6666,0.57507,0.3015,3e-05,0.00255,3e-05,2e-05,0.74539,9.62526,0.55893,0.43588,0.006337,0.006337,0.006337
39,6185.39,0.85011,10.647,0.57311,0.30193,3e-05,0.00218,3e-05,2e-05,0.74607,9.62683,0.55901,0.42909,0.006238,0.006238,0.006238
40,6343.45,0.84052,10.6705,0.57266,0.29182,3e-05,0.00218,3e-05,2e-05,0.74651,9.62548,0.55907,0.43258,0.006139,0.006139,0.006139
41,6501.29,0.8463,10.6595,0.57574,0.29748,3e-05,0.00218,3e-05,2e-05,0.74429,9.62278,0.55883,0.42639,0.00604,0.00604,0.00604
42,6659.92,0.83835,10.6796,0.57335,0.29111,3e-05,0.00218,3e-05,2e-05,0.74481,9.62434,0.5589,0.42732,0.005941,0.005941,0.005941
43,6818,0.83433,10.6917,0.57576,0.28118,3e-05,0.00218,3e-05,2e-05,0.74544,9.62402,0.55897,0.42065,0.005842,0.005842,0.005842
44,6976.74,0.84379,10.6504,0.57638,0.27642,3e-05,0.00218,3e-05,2e-05,0.74532,9.62116,0.55888,0.41836,0.005743,0.005743,0.005743
45,7133.8,0.84283,10.7034,0.57451,0.27973,3e-05,0.00218,3e-05,2e-05,0.74479,9.62579,0.55885,0.42017,0.005644,0.005644,0.005644
46,7292.69,0.849,10.6625,0.57556,0.28103,3e-05,0.00218,3e-05,2e-05,0.746,9.62542,0.55903,0.41755,0.005545,0.005545,0.005545
47,7449.43,0.84486,10.7435,0.57529,0.28177,3e-05,0.00218,3e-05,2e-05,0.74597,9.62401,0.55898,0.41661,0.005446,0.005446,0.005446
48,7608.37,0.84608,10.6423,0.57319,0.27662,3e-05,0.00218,3e-05,2e-05,0.74482,9.62354,0.5588,0.41125,0.005347,0.005347,0.005347
49,7766.93,0.8482,10.7049,0.57612,0.27307,3e-05,0.00218,3e-05,2e-05,0.74499,9.62223,0.5589,0.41338,0.005248,0.005248,0.005248
50,7933.37,0.84437,10.6499,0.57727,0.27096,3e-05,0.00218,3e-05,2e-05,0.74515,9.62404,0.55891,0.4094,0.005149,0.005149,0.005149
51,8091.98,0.8497,10.7008,0.57756,0.26843,3e-05,0.00218,3e-05,2e-05,0.74544,9.62447,0.55892,0.4125,0.00505,0.00505,0.00505
52,8250.43,0.83751,10.6556,0.57386,0.26302,3e-05,0.00218,3e-05,2e-05,0.74616,9.62507,0.55897,0.40883,0.004951,0.004951,0.004951
53,8409.3,0.85342,10.7007,0.57522,0.26605,3e-05,0.00218,3e-05,2e-05,0.74485,9.62402,0.55883,0.40843,0.004852,0.004852,0.004852
54,8566.79,0.84843,10.6317,0.57404,0.25552,3e-05,0.00218,3e-05,2e-05,0.74584,9.62484,0.55895,0.41093,0.004753,0.004753,0.004753
55,8724.09,0.84909,10.6899,0.57646,0.25522,3e-05,0.00218,3e-05,2e-05,0.7458,9.62519,0.55889,0.40326,0.004654,0.004654,0.004654
56,8881.63,0.8418,10.6808,0.57451,0.24953,3e-05,0.00218,3e-05,2e-05,0.74507,9.6243,0.5589,0.40391,0.004555,0.004555,0.004555
57,9039.57,0.84907,10.6601,0.57407,0.25552,3e-05,0.00218,3e-05,2e-05,0.74537,9.62425,0.55897,0.40173,0.004456,0.004456,0.004456
